"Parasite.species","Host.no","Stage","hosts","hs","var.hs","stage2","maxLCL","abs_diff","rel_diff"
"Amidostomum fulicae",1,"adult",3,3,2,"adult",1,0.237966904708039,3.18367391069248
"Amoebotaenia cuneata",1,"1larv",3,1,0,"larva",2,0.0209873573624291,2.00834061676786
"Amoebotaenia cuneata",2,"adult",2,4,0,"adult",2,NA,NA
"Amphilina foliacea",1,"1larv",9,2.53571428571429,0.534438775510204,"larva",2,2.56400054611093,2.43975542784421
"Amphilina foliacea",2,"adult",4,1.5,0.25,"adult",2,NA,NA
"Amplicaecum robertsi",1,"1larv",13,4.21212121212121,1.68227731864095,"larva",3,NA,NA
"Amplicaecum robertsi",2,"2larv",23,4.21739130434783,0.94483588245403,"larva",3,NA,NA
"Amplicaecum robertsi",3,"adult",5,2.8,0.36,"adult",3,NA,NA
"Ancyracanthopsis winegardi",1,"1larv",1,1,NA,"larva",2,NA,NA
"Ancyracanthopsis winegardi",2,"adult",7,2.5,0.45,"adult",2,NA,NA
"Andersonstrongylus captivensis",1,"adult",1,1,NA,"adult",1,NA,NA
"Angiostrongylus andersoni",1,"1larv",5,3.7,0.21,"larva",2,0.000377108928155285,0.873126763614501
"Angiostrongylus andersoni",2,"adult",1,1,NA,"adult",2,NA,NA
"Angiostrongylus cantonensis",1,"1larv",23,3.50197628458498,0.866596884813073,"larva",3,0.000220675177080243,0.774094257994044
"Angiostrongylus cantonensis",2,"2larv",5,NA,NA,"larva",3,2.62941804929282e-05,0.0410403898283489
"Angiostrongylus cantonensis",3,"adult",20,2.23684210526316,1.55969529085873,"adult",3,4.74720656084966,4.21167371952491
"Angiostrongylus costaricensis",1,"1larv",6,3.33333333333333,0.755555555555556,"larva",2,0.000270340880805423,0.816466171314596
"Angiostrongylus costaricensis",2,"adult",6,3.13333333333333,0.515555555555556,"adult",2,1.9061037607851,3.77639968290245
"Angiostrongylus dujardini",1,"1larv",8,3.42857142857143,1.10204081632653,"larva",2,0.000335880511855256,0.807714494164693
"Angiostrongylus dujardini",2,"adult",2,3,0,"adult",2,1.28432655161927,3.50912251900683
"Angiostrongylus mackerrasae",1,"1larv",4,3.66666666666667,0.222222222222222,"larva",2,0.000220783130450501,0.716873146351368
"Angiostrongylus mackerrasae",2,"adult",3,1,0,"adult",2,3.38340467260311,4.09287591324633
"Angiostrongylus malaysiensis",1,"1larv",5,4,0,"larva",2,NA,NA
"Angiostrongylus malaysiensis",2,"adult",5,1,0,"adult",2,2.89741904047392,4.02725897870892
"Angiostrongylus schmidti",1,"1larv",2,4,0,"larva",2,0.000179395857554448,0.588422270439161
"Angiostrongylus schmidti",2,"adult",7,2.57142857142857,0.244897959183673,"adult",2,2.51483504273819,4.01715734193196
"Angiostrongylus siamensis",1,"1larv",1,1,NA,"larva",2,NA,NA
"Angiostrongylus siamensis",2,"adult",7,2.23809523809524,0.276643990929705,"adult",2,NA,NA
"Angiostrongylus vasorum",1,"1larv",10,3.25,0.6875,"larva",3,0.000344215604174281,0.782428293913621
"Angiostrongylus vasorum",2,"2larv",2,5,0,"larva",3,NA,NA
"Angiostrongylus vasorum",3,"adult",5,1.9,0.09,"adult",3,NA,NA
"Anguillicola crassus",1,"1larv",10,3.06666666666667,2.10666666666667,"larva",3,0.000758811025776741,1.0024365622586
"Anguillicola crassus",2,"2larv",19,3.37908496732026,0.862830535264215,"larva",3,0.000601305441566312,0.233917389411065
"Anguillicola crassus",3,"adult",2,1,0,"adult",3,137.393289273874,4.97843145957051
"Anisakis pegreffii",1,"1larv",1,1,NA,"larva",4,NA,NA
"Anisakis pegreffii",2,"2larv",104,4.05101846563868,0.46037065509401,"larva",4,NA,NA
"Anisakis pegreffii",3,"3larv",27,3.86039886039886,0.245468786779328,"larva",4,NA,NA
"Anisakis pegreffii",4,"adult",5,2.4,0.24,"adult",4,NA,NA
"Anisakis simplex",1,"1larv",9,2.88888888888889,2.15432098765432,"larva",4,NA,NA
"Anisakis simplex",2,"2larv",79,4.40421052631579,0.958017359187442,"larva",4,3.70039046486994,0.330820264256273
"Anisakis simplex",3,"3larv",17,4.21323529411765,0.417766003460208,"larva",4,NA,NA
"Anisakis simplex",4,"adult",9,2.58333333333333,0.243055555555556,"adult",4,NA,NA
"Anomotaenia brevis",1,"1larv",1,1,NA,"larva",2,NA,NA
"Anomotaenia brevis",2,"adult",2,1,0,"adult",2,NA,NA
"Anomotaenia clavigera",1,"1larv",1,1,NA,"larva",2,NA,NA
"Anomotaenia clavigera",2,"adult",4,2.33333333333333,0.555555555555556,"adult",2,NA,NA
"Anomotaenia constricta",1,"1larv",1,1,NA,"larva",2,0.391080533163595,2.62419787719345
"Anomotaenia constricta",2,"adult",10,2.42222222222222,0.688395061728395,"adult",2,NA,NA
"Anomotaenia pyriformis",1,"1larv",4,NA,NA,"larva",2,NA,NA
"Anomotaenia pyriformis",2,"adult",2,2,0,"adult",2,NA,NA
"Anomotaenia tringae",1,"1larv",2,1,0,"larva",2,NA,NA
"Anomotaenia tringae",2,"adult",2,1,0,"adult",2,NA,NA
"Anoplocephala magna",1,"1larv",3,1,0,"larva",2,0.00759695223102104,0.560998643544458
"Anoplocephala magna",2,"adult",2,1,0,"adult",2,NA,NA
"Anoplocephala manubriata",1,"1larv",5,2.6,0.64,"larva",2,NA,NA
"Anoplocephala manubriata",2,"adult",2,2,0,"adult",2,NA,NA
"Anoplocephala perfoliata",1,"1larv",1,1,NA,"larva",2,0.008951434195653,0.597346604804456
"Anoplocephala perfoliata",2,"adult",1,1,NA,"adult",2,NA,NA
"Anoplotaenia dasyuri",1,"1larv",3,2.66666666666667,0.222222222222222,"larva",2,NA,NA
"Anoplotaenia dasyuri",2,"adult",4,3.5,0.583333333333333,"adult",2,NA,NA
"Aonchotheca bovis",1,"adult",6,2.6,0.24,"adult",1,0.110123491291524,2.18215474433688
"Aonchotheca bursata",1,"1larv",7,NA,NA,"larva",2,NA,NA
"Aonchotheca bursata",2,"adult",3,2,0,"adult",2,NA,NA
"Aonchotheca caudinflata",1,"1larv",9,NA,NA,"larva",2,1.60988924548865e-05,0.387340248271547
"Aonchotheca caudinflata",2,"adult",1,1,NA,"adult",2,0.0733263259058762,3.42956370670307
"Aonchotheca erinacei",1,"1larv",2,2,0,"larva",2,5.53646878872763e-05,0.590766153398943
"Aonchotheca erinacei",2,"adult",1,1,NA,"adult",2,0.0454589240409111,2.7863276304042
"Aonchotheca putorii",1,"1larv",1,NA,NA,"larva",2,NA,NA
"Aonchotheca putorii",2,"adult",12,2.36363636363636,0.413223140495868,"adult",2,NA,NA
"Aplectana courdurieri",1,"adult",1,1,NA,"adult",2,NA,NA
"Aplectana courdurieri",2,"adult",1,1,NA,"adult",2,NA,NA
"Aplectana macintoshii",1,"adult",21,3.14761904761905,0.98297052154195,"adult",1,NA,NA
"Aploparaksis australis",1,"1larv",8,NA,NA,"larva",2,0.0125300044977323,1.76501602612832
"Aploparaksis australis",2,"adult",5,1.7,0.21,"adult",2,NA,NA
"Aploparaksis birulai",1,"1larv",1,1,NA,"larva",2,0.0594605314554123,2.04924929274845
"Aploparaksis birulai",2,"adult",3,2,0,"adult",2,NA,NA
"Aploparaksis brachyphallos",1,"1larv",2,2,0,"larva",2,0.0205258224950317,1.73883001264596
"Aploparaksis brachyphallos",2,"adult",10,2.62222222222222,0.279506172839506,"adult",2,NA,NA
"Aploparaksis crassirostris",1,"1larv",2,4,0,"larva",2,0.102808619588726,2.07918124604763
"Aploparaksis crassirostris",2,"adult",5,2.3,0.41,"adult",2,NA,NA
"Aploparaksis demshini",1,"1larv",5,NA,NA,"larva",2,0.0225309265528928,1.78794782342092
"Aploparaksis demshini",2,"adult",1,1,NA,"adult",2,NA,NA
"Aploparaksis filum",1,"1larv",2,1,NA,"larva",2,0.0120766031264486,1.45956954657058
"Aploparaksis filum",2,"adult",5,1.4,0.24,"adult",2,NA,NA
"Aploparaksis furcigera",1,"1larv",1,1,NA,"larva",2,0.157785312929302,2.41917866219193
"Aploparaksis furcigera",2,"adult",6,1,0,"adult",2,NA,NA
"Aploparaksis kornyushini",1,"1larv",1,1,NA,"larva",2,0.020652149426291,1.73273864092808
"Aploparaksis kornyushini",2,"adult",1,1,NA,"adult",2,NA,NA
"Aploparaksis orientalis",1,"1larv",2,1,0,"larva",2,0.0769319492196376,2.26594463335568
"Aploparaksis orientalis",2,"adult",1,1,NA,"adult",2,NA,NA
"Aploparaksis penetrans",1,"1larv",3,2,0,"larva",2,0.132868621645365,2.38312692758214
"Aploparaksis penetrans",2,"adult",2,2,0,"adult",2,NA,NA
"Aploparaksis pseudofilum",1,"1larv",7,2.53333333333333,0.248888888888889,"larva",2,0.0140604826279753,1.52250646676651
"Aploparaksis pseudofilum",2,"adult",4,1.5,0.25,"adult",2,NA,NA
"Aploparaksis rissae",1,"1larv",4,3.5,0.583333333333333,"larva",2,0.0101966280058482,1.23192360694428
"Aploparaksis rissae",2,"adult",4,2.33333333333333,0.555555555555556,"adult",2,NA,NA
"Aploparaksis sinensis",1,"1larv",6,NA,NA,"larva",2,0.0661839847930537,2.02743010947114
"Aploparaksis sinensis",2,"adult",1,1,NA,"adult",2,NA,NA
"Aporhynchus norvegicus",1,"1larv",1,1,NA,"larva",3,NA,NA
"Aporhynchus norvegicus",2,"2larv",1,1,NA,"larva",3,NA,NA
"Aporhynchus norvegicus",3,"adult",1,1,NA,"adult",3,NA,NA
"Aprostatandrya cricetuli",1,"1larv",2,3,0,"larva",2,NA,NA
"Aprostatandrya cricetuli",2,"adult",1,1,NA,"adult",2,NA,NA
"Archigetes iowensis",1,"1larv",1,1,NA,"larva",2,0.2829965315484,2.97169429244628
"Archigetes iowensis",2,"adult",1,1,NA,"adult",2,NA,NA
"Archigetes limnodrili",1,"1larv",3,1,0,"larva",2,0.159252934340493,2.21492602737841
"Archigetes limnodrili",2,"adult",1,1,NA,"adult",2,NA,NA
"Archigetes sieboldi",1,"1larv",1,1,NA,"larva",2,0.634047903854859,2.82664412445295
"Archigetes sieboldi",2,"adult",5,2,0,"adult",2,NA,NA
"Arhythmorhynchus frassoni",1,"1larv",1,1,NA,"larva",2,4.15227058065932,3.61707575658577
"Arhythmorhynchus frassoni",2,"adult",2,4,0,"adult",2,NA,NA
"Ascaridia columbae",1,"adult",8,3.14285714285714,1.19387755102041,"adult",1,75.7698814340026,4.58431340667572
"Ascaridia compar",1,"adult",3,2,0,"adult",1,36.6456791616348,4.08812317200797
"Ascaridia dissimilis",1,"adult",1,1,NA,"adult",1,80.7283765062291,4.5369464225623
"Ascaridia galli",1,"adult",3,2.66666666666667,0.222222222222222,"adult",1,135.732828051703,4.77708441589474
"Ascaridia numidae",1,"adult",2,3,0,"adult",1,38.2488053679349,4.07430786207711
"Ascaris lumbricoides",1,"adult",2,4,0,"adult",1,6392.38123100102,6.57178450655927
"Ascaris suum",1,"adult",2,4,0,"adult",1,NA,NA
"Ascarophis arctica",1,"1larv",2,1,0,"larva",2,0.156440283886065,2.33795330939375
"Ascarophis arctica",2,"adult",12,3.65454545454545,0.335206611570248,"adult",2,-0.0169132490339666,-0.0494485292142446
"Ascarophis filiformis",1,"1larv",3,2,0,"larva",2,NA,NA
"Ascarophis filiformis",2,"adult",4,2.33333333333333,0.555555555555556,"adult",2,NA,NA
"Ascarophis marina",1,"1larv",2,1,NA,"larva",2,0.0328469219896081,1.87155941265251
"Ascarophis marina",2,"adult",2,4,0,"adult",2,0.813779468509611,1.40554956688273
"Ascarophis morrhuae",1,"1larv",6,3,0,"larva",2,0.0409594256102957,1.91049658580227
"Ascarophis morrhuae",2,"adult",5,3.7,0.41,"adult",2,0.0587272640951104,0.383127824696235
"Ascarophis pacificus",1,"1larv",5,2.5,2.25,"larva",2,NA,NA
"Ascarophis pacificus",2,"adult",10,3.66666666666667,0.888888888888889,"adult",2,NA,NA
"Ascarops strongylina",1,"1larv",32,2.06666666666667,0.505232974910394,"larva",3,0.0120812118395989,3.34454937054224
"Ascarops strongylina",2,"2larv",8,4.25,0.830357142857143,"larva",3,0.00164561524079573,0.0554361124777689
"Ascarops strongylina",3,"adult",5,3.8,0.16,"adult",3,1.44327833265832,2.02571962057466
"Aspersentis megarhynchus",1,"1larv",4,2.66666666666667,0.222222222222222,"larva",2,0.923710824772281,2.97461395651578
"Aspersentis megarhynchus",2,"adult",2,1,0,"adult",2,15.7735020939657,1.25667276901037
"Aspiculuris tetraptera",1,"adult",3,2,0,"adult",1,0.0851693818719368,1.57933130808583
"Atactorhynchus verecundus",1,"1larv",1,1,NA,"larva",2,0.000569842692209906,0.636613251955882
"Atactorhynchus verecundus",2,"adult",1,1,NA,"adult",2,2.26616324137982,3.48567214759894
"Atractolytocestus sagittatus",1,"1larv",2,1,0,"larva",2,0.102046050331945,1.99871821180682
"Atractolytocestus sagittatus",2,"adult",1,1,NA,"adult",2,NA,NA
"Atriotaenia procyonis",1,"1larv",1,1,NA,"larva",2,0.0274710679106934,1.68252708430131
"Atriotaenia procyonis",2,"adult",1,1,NA,"adult",2,NA,NA
"Austramphilina elongata",1,"1larv",3,2.66666666666667,0.222222222222222,"larva",2,NA,NA
"Austramphilina elongata",2,"adult",1,1,NA,"adult",2,NA,NA
"Avioserpens taiwana",1,"1larv",4,2,0,"larva",2,NA,NA
"Avioserpens taiwana",2,"adult",2,2,0,"adult",2,NA,NA
"Avitellina arctica",1,"1larv",2,1,0,"larva",2,NA,NA
"Avitellina arctica",2,"adult",2,3,0,"adult",2,NA,NA
"Avitellina centripunctata",1,"1larv",2,1,NA,"larva",2,NA,NA
"Avitellina centripunctata",2,"adult",7,1.95238095238095,0.0453514739229025,"adult",2,NA,NA
"Avitellina lahorea",1,"1larv",2,1,0,"larva",2,NA,NA
"Avitellina lahorea",2,"adult",2,2,0,"adult",2,NA,NA
"Baruscapillaria obsignata",1,"adult",9,3.69444444444444,0.545524691358025,"adult",1,0.0489407989605454,3.70965557429822
"Batrachocamallanus slomei",1,"1larv",2,2,0,"larva",2,NA,NA
"Batrachocamallanus slomei",2,"adult",1,1,NA,"adult",2,NA,NA
"Baylisascaris columnaris",1,"1larv",4,2.5,0.25,"larva",2,NA,NA
"Baylisascaris columnaris",2,"adult",1,1,NA,"adult",2,NA,NA
"Baylisascaris devosi",1,"1larv",1,1,NA,"larva",2,0.00392545642386532,1.96505038726636
"Baylisascaris devosi",2,"adult",4,2.33333333333333,0.555555555555556,"adult",2,935.736177546282,5.37253252062392
"Baylisascaris laevis",1,"adult",6,1.93333333333333,0.0622222222222222,"adult",1,489.152342797793,6.75296164810282
"Baylisascaris potosis",1,"1larv",2,4,0,"larva",2,0.00228252414246567,0.215260353659624
"Baylisascaris potosis",2,"adult",1,1,NA,"adult",2,1389.51563459961,5.37643600064729
"Baylisascaris procyonis",1,"1larv",11,3.67272727272727,0.838347107438017,"larva",2,0.00464828083880401,0.444289967347825
"Baylisascaris procyonis",2,"adult",2,1,NA,"adult",2,NA,NA
"Baylisascaris schroederi",1,"1larv",1,1,NA,"larva",2,0.00109014655970626,1.41586499743895
"Baylisascaris schroederi",2,"adult",1,1,NA,"adult",2,730.026459218511,5.80885667552841
"Baylisascaris tasmaniensis",1,"1larv",2,4,0,"larva",2,0.00186955509263194,1.73245684576481
"Baylisascaris tasmaniensis",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,179.137222328079,4.97333548618969
"Baylisascaris transfuga",1,"1larv",3,4,2,"larva",2,0.00295524624918208,0.31758358566952
"Baylisascaris transfuga",2,"adult",4,1,0,"adult",2,641.253572590166,5.05135571669268
"Bertiella mucronata",1,"1larv",2,1,NA,"larva",2,0.00803180101415542,0.968282885832002
"Bertiella mucronata",2,"adult",3,3,0,"adult",2,NA,NA
"Bertiella studeri",1,"1larv",2,3,0,"larva",2,0.00866952163355387,1.75966193837209
"Bertiella studeri",2,"adult",6,2.4,0.506666666666667,"adult",2,NA,NA
"Biacetabulum biloculoides",1,"1larv",1,1,NA,"larva",2,NA,NA
"Biacetabulum biloculoides",2,"adult",1,1,NA,"adult",2,NA,NA
"Biacetabulum infrequens",1,"1larv",5,1.83333333333333,0.138888888888889,"larva",2,0.0370065986116942,1.88924952552689
"Biacetabulum infrequens",2,"adult",3,1,0,"adult",2,NA,NA
"Biacetabulum macrocephalum",1,"1larv",2,1,0,"larva",2,0.036674854869235,1.91717005432209
"Biacetabulum macrocephalum",2,"adult",1,1,NA,"adult",2,NA,NA
"Blatticola blattae",1,"adult",1,1,NA,"adult",1,0.0291645904557092,2.90294866420803
"Bolbosoma nipponicum",1,"1larv",2,1,0,"larva",3,NA,NA
"Bolbosoma nipponicum",2,"2larv",3,1,0,"larva",3,NA,NA
"Bolbosoma nipponicum",3,"adult",12,3.25454545454545,0.989752066115703,"adult",3,NA,NA
"Bothridium pythonis",1,"1larv",1,1,NA,"larva",3,NA,NA
"Bothridium pythonis",2,"2larv",3,4,2,"larva",3,NA,NA
"Bothridium pythonis",3,"adult",2,1,0,"adult",3,NA,NA
"Bothrimonus fallax",1,"1larv",1,1,NA,"larva",2,36.4643819963652,4.77088518846435
"Bothrimonus fallax",2,"adult",1,1,NA,"adult",2,NA,NA
"Bothriocephalus acheilognathi",1,"1larv",9,1.94444444444444,0.0524691358024691,"larva",3,0.000433867925548059,0.22031389540264
"Bothriocephalus acheilognathi",2,"adult",30,3.23645320197044,0.953942100026693,"adult",3,NA,NA
"Bothriocephalus acheilognathi",3,"adult",2,2,0,"adult",3,NA,NA
"Bothriocephalus barbatus",1,"1larv",3,1,0,"larva",2,NA,NA
"Bothriocephalus barbatus",2,"adult",1,1,NA,"adult",2,NA,NA
"Bothriocephalus claviceps",1,"1larv",7,1.85714285714286,0.122448979591837,"larva",2,0.00701005453915314,1.04921663344816
"Bothriocephalus claviceps",2,"adult",3,1,0,"adult",2,NA,NA
"Bothriocephalus cuspidatus",1,"1larv",5,1.4,0.24,"larva",2,NA,NA
"Bothriocephalus cuspidatus",2,"adult",10,3.71111111111111,0.560987654320988,"adult",2,NA,NA
"Bothriocephalus gregarius",1,"1larv",3,1,0,"larva",3,NA,NA
"Bothriocephalus gregarius",2,"2larv",2,1,0,"larva",3,NA,NA
"Bothriocephalus gregarius",3,"adult",1,1,NA,"adult",3,NA,NA
"Bothriocephalus opsariichthydis",1,"1larv",2,2,0,"larva",2,NA,NA
"Bothriocephalus opsariichthydis",2,"adult",2,2,0,"adult",2,NA,NA
"Bothriocephalus rarus",1,"1larv",4,1.83333333333333,0.138888888888889,"larva",3,NA,NA
"Bothriocephalus rarus",2,"adult",5,2.3,0.41,"adult",3,NA,NA
"Bothriocephalus rarus",3,"adult",1,1,NA,"adult",3,NA,NA
"Bothriocephalus scorpii",1,"1larv",2,3,0,"larva",3,NA,NA
"Bothriocephalus scorpii",2,"2larv",7,3.95238095238095,0.0453514739229025,"larva",3,NA,NA
"Bothriocephalus scorpii",3,"adult",6,3.13333333333333,1.31555555555556,"adult",3,NA,NA
"Branchiopodataenia anaticapicirra",1,"1larv",3,4,0,"larva",2,0.0102726545480651,1.15174888810221
"Branchiopodataenia anaticapicirra",2,"adult",3,1.66666666666667,0.222222222222222,"adult",2,NA,NA
"Branchiopodataenia arctowskii",1,"1larv",4,3.5,1.25,"larva",2,0.016789482718886,1.51803025538949
"Branchiopodataenia arctowskii",2,"adult",6,1.33333333333333,0.222222222222222,"adult",2,NA,NA
"Branchiopodataenia gvozdevi",1,"1larv",3,1,0,"larva",2,0.0384904048560236,1.90103126413681
"Branchiopodataenia gvozdevi",2,"adult",1,1,NA,"adult",2,NA,NA
"Branchiopodataenia haldemani",1,"1larv",3,4,0,"larva",2,NA,NA
"Branchiopodataenia haldemani",2,"adult",4,1.83333333333333,0.138888888888889,"adult",2,NA,NA
"Branchiopodataenia pacifica",1,"1larv",3,4,0,"larva",2,0.0112951251470841,1.24288148034407
"Branchiopodataenia pacifica",2,"adult",4,1,0,"adult",2,NA,NA
"Brevimulticaecum tenuicolle",1,"1larv",4,4,0,"larva",2,0.0187900981389769,0.986760272322482
"Brevimulticaecum tenuicolle",2,"adult",1,1,NA,"adult",2,1.85224308438405,1.95139968503341
"Caballerorhynchus lamothei",1,"1larv",1,1,NA,"larva",2,NA,NA
"Caballerorhynchus lamothei",2,"adult",1,1,NA,"adult",2,NA,NA
"Calliobothrium verticillatum",1,"1larv",1,1,NA,"larva",2,NA,NA
"Calliobothrium verticillatum",2,"adult",1,1,NA,"adult",2,NA,NA
"Camallanus anabantis",1,"1larv",1,1,NA,"larva",2,0.00190493659266961,1.63720788355487
"Camallanus anabantis",2,"adult",8,3.53571428571429,0.534438775510204,"adult",2,NA,NA
"Camallanus corderoi",1,"1larv",1,1,NA,"larva",3,0.000400016796608324,0.577391462297717
"Camallanus corderoi",2,"2larv",1,NA,NA,"larva",3,NA,NA
"Camallanus corderoi",3,"adult",2,4,0,"adult",3,NA,NA
"Camallanus cotti",1,"1larv",2,2,0,"larva",2,0.000492953777900884,0.645613766094525
"Camallanus cotti",2,"adult",20,3.74509803921569,0.399077277970012,"adult",2,0.62813576461871,2.99434734360238
"Camallanus lacustris",1,"1larv",6,1.93333333333333,0.0622222222222222,"larva",4,0.00132969508198487,0.98873335411828
"Camallanus lacustris",2,"2larv",7,2.76190476190476,0.848072562358277,"larva",4,NA,NA
"Camallanus lacustris",3,"adult",5,4,0,"adult",4,NA,NA
"Camallanus lacustris",4,"adult",2,4,0,"adult",4,NA,NA
"Camallanus oxycephalus",1,"1larv",2,1,0,"larva",3,NA,NA
"Camallanus oxycephalus",2,"2larv",3,4,0,"larva",3,NA,NA
"Camallanus oxycephalus",3,"adult",8,3.89285714285714,0.167091836734694,"adult",3,NA,NA
"Camallanus truncatus",1,"1larv",4,2,0,"larva",2,0.00200111880795375,1.18748663981299
"Camallanus truncatus",2,"adult",2,2,0,"adult",2,NA,NA
"Camallanus xenentodoni",1,"1larv",2,1,0,"larva",2,0.00043458844982316,0.460124528114413
